example_id                                                               | status | run_time        |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:11]                         | passed | 0.02994 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:12]                         | passed | 0.03596 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:13]                         | passed | 0.05631 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:14]                         | passed | 0.04485 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:15]                         | passed | 0.03118 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:16]                         | passed | 0.03137 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:17]                         | passed | 0.03794 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:18]                         | passed | 0.02834 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:19]                         | passed | 0.03077 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:20]                         | passed | 0.03244 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:21]                         | passed | 0.03112 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:22]                         | passed | 0.03103 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:23]                         | passed | 0.02933 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:24]                         | passed | 0.03609 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:25]                         | passed | 0.04015 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:26]                         | passed | 0.03248 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:27]                         | passed | 0.02538 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:28]                         | passed | 0.03402 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:3:1]                          | passed | 0.05146 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:3:2]                          | passed | 0.05928 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:3:3]                          | passed | 0.04945 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:3:4]                          | passed | 0.05065 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:4:1]                          | passed | 0.06833 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:4:2]                          | passed | 0.05757 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:4:3]                          | passed | 0.05444 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:4:4]                          | passed | 0.05 seconds    |
